ID,Rating
1,4.1604
2,4.1190
3,4.5620
4,4.7153
5,4.6134
6,3.3251
7,3.9753
8,4.1033
9,4.0996
10,3.9166
11,3.8931
12,3.8340
13,3.1602
14,3.8862
15,3.5403
16,2.8989
17,3.8042
18,3.9940
19,2.9966
20,3.5428
21,4.0270
22,3.0415
23,4.0467
24,5.0000
25,4.6183
26,2.6808
27,3.0777
28,3.3729
29,3.2540
30,3.4227
31,2.9396
32,2.7924
33,3.4242
34,3.1780
35,2.9402
36,2.6851
37,3.5796
38,3.6867
39,3.3017
40,3.7079
41,3.2396
42,2.8418
43,3.2931
44,3.5603
45,3.3958
46,4.3335
47,4.0445
48,3.6660
49,3.9727
50,4.3451
51,4.0516
52,3.1163
53,4.7627
54,4.6444
55,4.9444
56,4.2457
57,2.9636
58,4.0431
59,3.9710
60,3.1131
61,3.7641
62,3.7859
63,3.3629
64,3.8063
65,3.7217
66,3.3450
67,3.4168
68,4.6413
69,4.5355
70,2.8803
71,3.8494
72,3.6384
73,3.7211
74,4.0834
75,4.1423
76,3.7041
77,3.6698
78,4.0326
79,3.9561
80,3.8892
81,4.1410
82,3.0624
83,2.9931
84,3.2112
85,4.2134
86,4.6990
87,4.1498
88,4.2237
89,4.6700
90,4.1491
91,4.6622
92,3.7289
93,4.3430
94,2.9466
95,3.8758
96,4.2477
97,4.3387
98,3.4802
99,4.4987
100,4.9709
101,4.3679
102,4.4224
103,2.9324
104,4.1712
105,3.8547
106,3.2965
107,4.1067
108,4.2203
109,4.4967
110,3.9663
111,4.1140
112,3.8466
113,3.7774
114,4.1046
115,4.8083
116,3.7070
117,3.0221
118,4.1963
119,3.4204
120,4.7146
121,3.1812
122,3.8761
123,3.5476
124,3.2946
125,3.2219
126,3.4157
127,3.5902
128,3.1371
129,3.5645
130,2.8335
131,3.8270
132,3.2335
133,3.7578
134,4.3569
135,4.0283
136,3.2850
137,2.5002
138,3.4201
139,3.1729
140,3.2178
141,3.5080
142,3.2061
143,3.4573
144,3.3287
145,3.2644
146,3.1636
147,2.4183
148,4.1028
149,3.9882
150,2.6043
151,3.2519
152,4.0578
153,3.5466
154,2.8826
155,2.9706
156,2.0763
157,3.1708
158,4.0614
159,3.7588
160,3.0311
161,3.8312
162,3.5075
163,3.2810
164,3.1357
165,3.6338
166,3.9622
167,2.8808
168,2.8803
169,3.3299
170,3.1450
171,3.2177
172,4.0863
173,3.1158
174,4.4507
175,4.1419
176,4.5271
177,4.0376
178,4.9634
179,4.3692
180,3.9241
181,3.7616
182,3.5913
183,4.3439
184,4.7497
185,4.6669
186,3.9144
187,4.9675
188,4.5060
189,4.2990
190,2.6610
191,4.1092
192,3.3849
193,4.1001
194,3.8144
195,3.0803
196,3.4313
197,2.8349
198,2.1408
199,4.0251
200,3.2108
201,4.0750
202,3.1409
203,4.1933
204,3.7260
205,4.0461
206,4.2746
207,2.5246
208,3.7378
209,3.8667
210,4.1218
211,4.2897
212,2.5073
213,3.2108
214,3.7797
215,3.8304
216,4.4055
217,3.3024
218,4.2225
219,3.6428
220,3.6200
