ID,Rating
1,4.1194
2,4.0789
3,4.5068
4,4.6942
5,4.5942
6,3.3238
7,3.9852
8,4.0976
9,4.0918
10,3.9250
11,3.8832
12,3.8377
13,3.1523
14,3.8831
15,3.5336
16,2.8849
17,3.7956
18,3.9828
19,2.9611
20,3.5030
21,3.9982
22,3.0073
23,4.0047
24,4.6471
25,4.2664
26,2.6923
27,3.0982
28,3.3878
29,3.2655
30,3.4488
31,2.9603
32,2.7659
33,3.4415
34,3.1924
35,2.9502
36,2.6941
37,3.6072
38,3.7231
39,3.3218
40,3.7395
41,3.2424
42,2.8515
43,3.3080
44,3.5853
45,3.4265
46,4.3449
47,4.0397
48,3.6561
49,3.9737
50,4.3387
51,4.0625
52,3.0832
53,4.5925
54,4.4708
55,4.7853
56,4.2441
57,2.9512
58,4.0426
59,3.9739
60,3.1033
61,3.7569
62,3.7868
63,3.3713
64,3.8247
65,3.7308
66,3.3416
67,3.4116
68,4.6514
69,4.5438
70,2.8814
71,3.8506
72,3.6446
73,3.7086
74,4.0814
75,4.1479
76,3.6976
77,3.6628
78,4.0257
79,3.9518
80,3.8736
81,4.1381
82,3.0510
83,2.9899
84,3.2131
85,4.2180
86,4.7169
87,4.1269
88,4.2248
89,4.6761
90,4.1518
91,4.6736
92,3.7312
93,4.3559
94,2.9339
95,3.8727
96,4.2551
97,4.3574
98,3.4836
99,4.5095
100,4.9983
101,4.3756
102,4.4300
103,2.9266
104,4.1704
105,3.8498
106,3.2892
107,4.1091
108,4.2206
109,4.5041
110,3.9622
111,4.1329
112,3.8451
113,3.7746
114,4.1136
115,4.8299
116,3.7063
117,3.0235
118,4.1960
119,3.4046
120,4.7248
121,3.1805
122,3.8933
123,3.5505
124,3.3111
125,3.2242
126,3.4190
127,3.5982
128,3.1355
129,3.5770
130,2.8227
131,3.8377
132,3.2327
133,3.7553
134,4.0694
135,3.7679
136,3.0732
137,2.4907
138,3.4118
139,3.1658
140,3.2106
141,3.5031
142,3.1950
143,3.4587
144,3.3216
145,3.2541
146,3.1540
147,2.2894
148,3.8870
149,3.7745
150,2.5962
151,3.2449
152,4.0707
153,3.5347
154,2.8851
155,2.9675
156,2.0662
157,3.1601
158,4.0713
159,3.7645
160,3.0350
161,3.8244
162,3.4970
163,3.2677
164,3.1249
165,3.6319
166,3.9630
167,2.8714
168,2.8538
169,3.3154
170,3.1131
171,3.1796
172,4.0509
173,3.0953
174,4.4503
175,4.1599
176,4.5278
177,4.0407
178,4.9728
179,4.3839
180,3.9263
181,3.7095
182,3.5887
183,4.3565
184,4.2079
185,4.6873
186,3.9117
